Coletânea,UF,Participantes,Compradores,PorcentagemCompradores,LivrosVendidos,Total
Contos de Mistério e Suspense,PB,0.0,0.0,0.0,0.0,0.0
Contos de Mistério e Suspense,PI,0.0,0.0,0.0,0.0,0.0
Contos de Mistério e Suspense,RN,0.0,0.0,0.0,0.0,0.0
Contos de Mistério e Suspense,RO,0.0,0.0,0.0,0.0,0.0
Contos de Mistério e Suspense,RR,0.0,0.0,0.0,0.0,0.0
Contos de Mistério e Suspense,SE,0.0,0.0,0.0,0.0,0.0
Lembranças de Família,AC,0.0,0.0,0.0,0.0,0.0
Lembranças de Família,AL,0.0,0.0,0.0,0.0,0.0
Lembranças de Família,AP,0.0,0.0,0.0,0.0,0.0
Lembranças de Família,AM,0.0,0.0,0.0,0.0,0.0
Lembranças de Família,GO,0.0,0.0,0.0,0.0,0.0
Lembranças de Família,MT,0.0,0.0,0.0,0.0,0.0
Lembranças de Família,PA,0.0,0.0,0.0,0.0,0.0
Lembranças de Família,RO,0.0,0.0,0.0,0.0,0.0
Lembranças de Família,RR,0.0,0.0,0.0,0.0,0.0
Lembranças de Família,SE,0.0,0.0,0.0,0.0,0.0
"Livros, Autores e Estilos",AC,0.0,0.0,0.0,0.0,0.0
"Livros, Autores e Estilos",AL,0.0,0.0,0.0,0.0,0.0
"Livros, Autores e Estilos",AP,0.0,0.0,0.0,0.0,0.0
"Livros, Autores e Estilos",AM,0.0,0.0,0.0,0.0,0.0
"Livros, Autores e Estilos",CE,0.0,0.0,0.0,0.0,0.0
"Livros, Autores e Estilos",GO,0.0,0.0,0.0,0.0,0.0
"Livros, Autores e Estilos",MA,0.0,0.0,0.0,0.0,0.0
"Livros, Autores e Estilos",MT,0.0,0.0,0.0,0.0,0.0
"Livros, Autores e Estilos",MS,0.0,0.0,0.0,0.0,0.0
"Livros, Autores e Estilos",PA,0.0,0.0,0.0,0.0,0.0
"Livros, Autores e Estilos",PR,0.0,0.0,0.0,0.0,0.0
"Livros, Autores e Estilos",PE,0.0,0.0,0.0,0.0,0.0
"Livros, Autores e Estilos",PI,0.0,0.0,0.0,0.0,0.0
"Livros, Autores e Estilos",RJ,0.0,0.0,0.0,0.0,0.0
"Livros, Autores e Estilos",RS,0.0,0.0,0.0,0.0,0.0
"Livros, Autores e Estilos",RO,0.0,0.0,0.0,0.0,0.0
"Livros, Autores e Estilos",RR,0.0,0.0,0.0,0.0,0.0
"Livros, Autores e Estilos",SC,0.0,0.0,0.0,0.0,0.0
"Livros, Autores e Estilos",SE,0.0,0.0,0.0,0.0,0.0
Meu Escritor Favorito,AC,0.0,0.0,0.0,0.0,0.0
Meu Escritor Favorito,AL,0.0,0.0,0.0,0.0,0.0
Meu Escritor Favorito,AM,0.0,0.0,0.0,0.0,0.0
Meu Escritor Favorito,CE,0.0,0.0,0.0,0.0,0.0
Meu Escritor Favorito,DF,0.0,0.0,0.0,0.0,0.0
Meu Escritor Favorito,GO,0.0,0.0,0.0,0.0,0.0
Meu Escritor Favorito,PA,0.0,0.0,0.0,0.0,0.0
Meu Escritor Favorito,PB,0.0,0.0,0.0,0.0,0.0
Meu Escritor Favorito,PE,0.0,0.0,0.0,0.0,0.0
Meu Escritor Favorito,PI,0.0,0.0,0.0,0.0,0.0
Meu Escritor Favorito,RN,0.0,0.0,0.0,0.0,0.0
Meu Escritor Favorito,RO,0.0,0.0,0.0,0.0,0.0
Meu Escritor Favorito,RR,0.0,0.0,0.0,0.0,0.0
Meu Escritor Favorito,SE,0.0,0.0,0.0,0.0,0.0
Meu Escritor Favorito,TO,0.0,0.0,0.0,0.0,0.0
Natal dos Sonhos,AC,0.0,0.0,0.0,0.0,0.0
Natal dos Sonhos,AL,0.0,0.0,0.0,0.0,0.0
Natal dos Sonhos,AP,0.0,0.0,0.0,0.0,0.0
Natal dos Sonhos,AM,0.0,0.0,0.0,0.0,0.0
Natal dos Sonhos,CE,0.0,0.0,0.0,0.0,0.0
Natal dos Sonhos,DF,0.0,0.0,0.0,0.0,0.0
Natal dos Sonhos,GO,0.0,0.0,0.0,0.0,0.0
Natal dos Sonhos,MS,0.0,0.0,0.0,0.0,0.0
Natal dos Sonhos,PA,0.0,0.0,0.0,0.0,0.0
Natal dos Sonhos,PB,0.0,0.0,0.0,0.0,0.0
Natal dos Sonhos,PE,0.0,0.0,0.0,0.0,0.0
Natal dos Sonhos,PI,0.0,0.0,0.0,0.0,0.0
Natal dos Sonhos,RO,0.0,0.0,0.0,0.0,0.0
Natal dos Sonhos,RR,0.0,0.0,0.0,0.0,0.0
Natal dos Sonhos,SE,0.0,0.0,0.0,0.0,0.0
Nossos Dons,AC,0.0,0.0,0.0,0.0,0.0
Nossos Dons,AL,0.0,0.0,0.0,0.0,0.0
Nossos Dons,AP,0.0,0.0,0.0,0.0,0.0
Nossos Dons,AM,0.0,0.0,0.0,0.0,0.0
Nossos Dons,CE,0.0,0.0,0.0,0.0,0.0
Nossos Dons,DF,0.0,0.0,0.0,0.0,0.0
Nossos Dons,ES,0.0,0.0,0.0,0.0,0.0
Nossos Dons,GO,0.0,0.0,0.0,0.0,0.0
Nossos Dons,MA,0.0,0.0,0.0,0.0,0.0
Nossos Dons,MT,0.0,0.0,0.0,0.0,0.0
Nossos Dons,MS,0.0,0.0,0.0,0.0,0.0
Nossos Dons,PA,0.0,0.0,0.0,0.0,0.0
Nossos Dons,PB,0.0,0.0,0.0,0.0,0.0
Nossos Dons,PE,0.0,0.0,0.0,0.0,0.0
Nossos Dons,PI,0.0,0.0,0.0,0.0,0.0
Nossos Dons,RS,0.0,0.0,0.0,0.0,0.0
Nossos Dons,RO,0.0,0.0,0.0,0.0,0.0
Nossos Dons,RR,0.0,0.0,0.0,0.0,0.0
Nossos Dons,SE,0.0,0.0,0.0,0.0,0.0
Nossos Pais,AC,0.0,0.0,0.0,0.0,0.0
Nossos Pais,AL,0.0,0.0,0.0,0.0,0.0
Nossos Pais,AP,0.0,0.0,0.0,0.0,0.0
Nossos Pais,AM,0.0,0.0,0.0,0.0,0.0
Nossos Pais,BA,0.0,0.0,0.0,0.0,0.0
Nossos Pais,CE,0.0,0.0,0.0,0.0,0.0
Nossos Pais,GO,0.0,0.0,0.0,0.0,0.0
Nossos Pais,MA,0.0,0.0,0.0,0.0,0.0
Nossos Pais,PA,0.0,0.0,0.0,0.0,0.0
Nossos Pais,PB,0.0,0.0,0.0,0.0,0.0
Nossos Pais,PE,0.0,0.0,0.0,0.0,0.0
Nossos Pais,PI,0.0,0.0,0.0,0.0,0.0
Nossos Pais,RO,0.0,0.0,0.0,0.0,0.0
Nossos Pais,RR,0.0,0.0,0.0,0.0,0.0
Nossos Pais,SC,0.0,0.0,0.0,0.0,0.0
Nossos Pais,SE,0.0,0.0,0.0,0.0,0.0
Nossos Pais,TO,0.0,0.0,0.0,0.0,0.0
Racismo. Até quando,AC,0.0,0.0,0.0,0.0,0.0
Racismo. Até quando,AL,0.0,0.0,0.0,0.0,0.0
Racismo. Até quando,AP,0.0,0.0,0.0,0.0,0.0
Racismo. Até quando,AM,0.0,0.0,0.0,0.0,0.0
Racismo. Até quando,CE,0.0,0.0,0.0,0.0,0.0
Racismo. Até quando,DF,0.0,0.0,0.0,0.0,0.0
Racismo. Até quando,GO,0.0,0.0,0.0,0.0,0.0
Racismo. Até quando,MT,0.0,0.0,0.0,0.0,0.0
Racismo. Até quando,MS,0.0,0.0,0.0,0.0,0.0
Racismo. Até quando,PA,0.0,0.0,0.0,0.0,0.0
Racismo. Até quando,PB,0.0,0.0,0.0,0.0,0.0
Racismo. Até quando,PI,0.0,0.0,0.0,0.0,0.0
Racismo. Até quando,RS,0.0,0.0,0.0,0.0,0.0
Racismo. Até quando,RO,0.0,0.0,0.0,0.0,0.0
Racismo. Até quando,RR,0.0,0.0,0.0,0.0,0.0
Racismo. Até quando,SE,0.0,0.0,0.0,0.0,0.0
Racismo. Até quando,TO,0.0,0.0,0.0,0.0,0.0
Revisitando o Passado,AC,0.0,0.0,0.0,0.0,0.0
Revisitando o Passado,AL,0.0,0.0,0.0,0.0,0.0
Revisitando o Passado,AP,0.0,0.0,0.0,0.0,0.0
Revisitando o Passado,AM,0.0,0.0,0.0,0.0,0.0
Revisitando o Passado,MA,0.0,0.0,0.0,0.0,0.0
Revisitando o Passado,MT,0.0,0.0,0.0,0.0,0.0
Revisitando o Passado,PA,0.0,0.0,0.0,0.0,0.0
Revisitando o Passado,PR,0.0,0.0,0.0,0.0,0.0
Revisitando o Passado,PE,0.0,0.0,0.0,0.0,0.0
Revisitando o Passado,PI,0.0,0.0,0.0,0.0,0.0
Revisitando o Passado,RR,0.0,0.0,0.0,0.0,0.0
Saudade Eterna,AC,0.0,0.0,0.0,0.0,0.0
Saudade Eterna,AL,0.0,0.0,0.0,0.0,0.0
Saudade Eterna,AP,0.0,0.0,0.0,0.0,0.0
Saudade Eterna,AM,0.0,0.0,0.0,0.0,0.0
Saudade Eterna,MT,0.0,0.0,0.0,0.0,0.0
Saudade Eterna,PA,0.0,0.0,0.0,0.0,0.0
Saudade Eterna,PE,0.0,0.0,0.0,0.0,0.0
Saudade Eterna,PI,0.0,0.0,0.0,0.0,0.0
Saudade Eterna,RO,0.0,0.0,0.0,0.0,0.0
Saudade Eterna,RR,0.0,0.0,0.0,0.0,0.0
Saudade Eterna,SE,0.0,0.0,0.0,0.0,0.0
Segredos,AC,0.0,0.0,0.0,0.0,0.0
Segredos,AP,0.0,0.0,0.0,0.0,0.0
Segredos,CE,0.0,0.0,0.0,0.0,0.0
Segredos,GO,0.0,0.0,0.0,0.0,0.0
Segredos,MT,0.0,0.0,0.0,0.0,0.0
Segredos,MS,0.0,0.0,0.0,0.0,0.0
Segredos,PA,0.0,0.0,0.0,0.0,0.0
Segredos,PB,0.0,0.0,0.0,0.0,0.0
Segredos,PI,0.0,0.0,0.0,0.0,0.0
Segredos,RO,0.0,0.0,0.0,0.0,0.0
Segredos,RR,0.0,0.0,0.0,0.0,0.0
Segredos,SE,0.0,0.0,0.0,0.0,0.0
Segredos,TO,0.0,0.0,0.0,0.0,0.0
Simplesmente Amor,AC,0.0,0.0,0.0,0.0,0.0
Simplesmente Amor,AL,0.0,0.0,0.0,0.0,0.0
Simplesmente Amor,AP,0.0,0.0,0.0,0.0,0.0
Simplesmente Amor,AM,0.0,0.0,0.0,0.0,0.0
Simplesmente Amor,GO,0.0,0.0,0.0,0.0,0.0
Simplesmente Amor,MS,0.0,0.0,0.0,0.0,0.0
Simplesmente Amor,PA,0.0,0.0,0.0,0.0,0.0
Simplesmente Amor,PB,0.0,0.0,0.0,0.0,0.0
Simplesmente Amor,PI,0.0,0.0,0.0,0.0,0.0
Simplesmente Amor,RS,0.0,0.0,0.0,0.0,0.0
Simplesmente Amor,RO,0.0,0.0,0.0,0.0,0.0
Simplesmente Amor,RR,0.0,0.0,0.0,0.0,0.0
Simplesmente Amor,SE,0.0,0.0,0.0,0.0,0.0
Todas as Formas de Amor,AC,0.0,0.0,0.0,0.0,0.0
Todas as Formas de Amor,AL,0.0,0.0,0.0,0.0,0.0
Todas as Formas de Amor,AP,0.0,0.0,0.0,0.0,0.0
Todas as Formas de Amor,AM,0.0,0.0,0.0,0.0,0.0
Todas as Formas de Amor,CE,0.0,0.0,0.0,0.0,0.0
Todas as Formas de Amor,GO,0.0,0.0,0.0,0.0,0.0
Todas as Formas de Amor,MA,0.0,0.0,0.0,0.0,0.0
Todas as Formas de Amor,MS,0.0,0.0,0.0,0.0,0.0
Todas as Formas de Amor,PA,0.0,0.0,0.0,0.0,0.0
Todas as Formas de Amor,PB,0.0,0.0,0.0,0.0,0.0
Todas as Formas de Amor,PE,0.0,0.0,0.0,0.0,0.0
Todas as Formas de Amor,PI,0.0,0.0,0.0,0.0,0.0
Todas as Formas de Amor,RR,0.0,0.0,0.0,0.0,0.0
Todas as Formas de Amor,SC,0.0,0.0,0.0,0.0,0.0
