Cidade,UF,Latitude,Longitude
Manacapuru,AM,-3.2914356169468855,-60.958773119171816
Manaquiri,AM,-3.778962086482492,-60.69721803504345
Manaus,AM,-2.6258000663522774,-60.25966177840484
Manicoré,AM,-6.457154804284369,-61.446610674375655
Maraã,AM,-2.426476656028096,-65.03975029800945
Maués,AM,-4.982228618995269,-58.0604287194227
Nhamundá,AM,-1.6803663312225123,-57.656385436611885
Nova Olinda do Norte,AM,-3.9893909507770053,-58.599803649590704
Novo Airão,AM,-2.047913632047546,-61.70325256251723
Novo Aripuanã,AM,-6.81985306964806,-60.47625082305487
Parintins,AM,-2.6880156611876296,-56.85464653796048
Pauini,AM,-7.757334590532525,-68.19715573024766
Presidente Figueiredo,AM,-1.370757617337983,-59.98959490269164
Rio Preto da Eva,AM,-2.529775189812652,-59.63839241037275
Santa Isabel do Rio Negro,AM,-0.3182811619639951,-65.52128386227788
Santo Antônio do Içá,AM,-3.0528239085213924,-69.08933546961401
São Gabriel da Cachoeira,AM,0.3743678112699654,-67.99705094539678
São Paulo de Olivença,AM,-4.500076145892579,-69.45066784115268
São Sebastião do Uatumã,AM,-1.9416616176299721,-58.70532192173616
Silves,AM,-2.8205301825829023,-58.53709745343696
Tabatinga,AM,-4.028195813223758,-69.67761849313644
Tapauá,AM,-6.092870659686543,-64.95507832177377
Tefé,AM,-4.469419984885447,-65.5310409519385
Tonantins,AM,-2.69177772873523,-67.82602601451694
Uarini,AM,-3.165463340079813,-65.41071242524038
Urucará,AM,-0.8941267626113624,-59.029730154917104
Urucurituba,AM,-2.813714627808562,-57.77127969988797
Amajari,RR,3.732799288533531,-62.436994434692345
Alto Alegre,RR,3.0720222152574825,-62.74234435779086
Boa Vista,RR,3.117823706200025,-60.71797208364439
Bonfim,RR,2.787417371176972,-60.10059676626181
Cantá,RR,2.272761728459349,-60.54228593726901
Caracaraí,RR,0.9905659921975333,-61.4716302329243
Caroebe,RR,0.914641389949428,-59.338136187513285
Iracema,RR,2.181739098880554,-62.40160618877157
Mucajaí,RR,2.510942784323315,-61.99679610266229
Normandia,RR,3.8788086643570687,-60.065440582628284
Pacaraima,RR,4.168351107922076,-60.83934802641537
Rorainópolis,RR,0.03804629226641349,-61.01116981303602
São João da Baliza,RR,0.6357569572670331,-59.8450181300404
São Luiz,RR,0.8844254816081526,-60.151836249145525
Uiramutã,RR,4.685235713090831,-60.279309521401466
Abaetetuba,PA,-1.7302509068854512,-48.88306928954097
Abel Figueiredo,PA,-4.957309782020538,-48.42460190899575
Acará,PA,-2.035324869904417,-48.41143164336096
Afuá,PA,-0.2628362967092481,-50.72590507922879
Água Azul do Norte,PA,-6.772867075599287,-50.43019134226702
Alenquer,PA,-0.6045078905226422,-55.03917921280665
Almeirim,PA,0.2843087517381525,-53.89350750548394
